BallName,PinName,PinType,Alternate,Remap
P9,PE9,gpio,TIMER0_CH0/EXMC_D6/EVENTOUT,
P10,PE11,gpio,TIMER0_CH1/SPI3_NSS/SPI4_NSS/EXMC_D8/TLI_G3/EVENTOUT,
P11,PE14,gpio,TIMER0_CH3/SPI3_MOSI/SPI4_MOSI/EXMC_D11/TLI_PIXCLK/EVENTOUT,
P12,PB12,gpio,TIMER0_BRKIN/I2C1_SMBA/SPI1_NSS/I2S1_WS/SPI3_NSS/USART2_CK/CAN1_RX/USBHS_ULPI_D5/ENET_MII_TXD0/ENET_RMII_TXD0/USBHS_ID/EVENTOUT,
P13,PB13,gpio,TIMER0_CH0_ON/SPI1_SCK/I2S1_CK/SPI3_SCK/USART2_CTS/CAN1_TX/USBHS_ULPI_D6/ENET_MII_TXD1/ENET_RMII_TXD1/EVENTOUT/I2C1_TXFRAME,
P14,PD9,gpio,USART2_RX/EXMC_D14/EVENTOUT,
P15,PD8,gpio,USART2_TX/EXMC_D13/EVENTOUT,
R1,VDDA,power,,
R2,PA3,gpio,TIMER1_CH3/TIMER4_CH3/TIMER8_CH1,
R3,PA7,gpio,TIMER0_CH0_ON/TIMER2_CH1/TIMER7_CH0_ON/SPI0_MOSI/TIMER13_CH0/ENET_MII_RX_DV/ENET_RMII_CRS_DV/EXMC_SDNWE/EVENTOUT/ADC01_IN7,
R4,PB1,gpio,TIMER0_CH2_ON/TIMER2_CH3/TIMER7_CH2_ON/SPI4_NSS/TLI_R6/USBHS_ULPI_D2/ENET_MII_RXD3/SDIO_D2/EVENTOUT/ADC01_IN9,
R5,PB0,gpio,TIMER0_CH1_ON/TIMER2_CH2/TIMER7_CH1_ON/SPI4_SCK/SPI2_MOSI/I2S2_SD/TLI_R3/USBHS_ULPI_D1/ENET_MII_RXD2/SDIO_D1/EVENTOUT/ADC01_IN8/IREF,
R6,PF11,gpio,SPI4_MOSI/EXMC_SDNRAS/DCI_D12/EVENTOUT,
R7,PF14,gpio,EXMC_A8/EVENTOUT,
R8,PE7,gpio,TIMER0_ETI/UART6_RX/EXMC_D4/EVENTOUT,
R9,PE10,gpio,TIMER0_CH1_ON/EXMC_D7/EVENTOUT,
R10,PE12,gpio,TIMER0_CH2_ON/SPI3_SCK/SPI4_SCK/EXMC_D9/TLI_B4/EVENTOUT,
R11,PE15,gpio,TIMER0_BRKIN/EXMC_D12/TLI_R7,
R12,PB10,gpio,TIMER1_CH2/I2C1_SCL/SPI1_SCK/I2S1_CK/I2S2_MCK/USART2_TX/USBHS_ULPI_D3/ENET_MII_RX_ER/SDIO_D7/TLI_G4/EVENTOUT,
R13,PB11,gpio,TIMER1_CH3/I2C1_SDA/I2S_CKIN/USART2_RX/USBHS_ULPI_D4/ENET_MII_TX_EN/ENET_RMII_TX_EN/TLI_G5/EVENTOUT,
R14,PB14,gpio,USBHS_VBUS/TIMER0_CH1_ON/TIMER7_CH1_ON/SPI1_MISO/I2S1_ADD_SD/USART2_RTS/TIMER11_CH0/USBHS_DM/EVENTOUT,
R15,PB15,gpio,RTC_REFIN/TIMER0_CH2_ON/TIMER7_CH2_ON/SPI1_MOSI/I2S1_SD/TIMER11_CH1/USBHS_DP/EVENTOUT,
