PadNumber,PinName,PinType,Alternate,Remap
122,PD6,gpio,SAI1_DAT0/SAI0_DAT0/HPDF_CKIN4/HPDF_DATAIN1/SPI2_MOSI/I2S2_SD/SAI0_SD0/USART1_RX/SAI2_SD0/OSPIM_P0_IO6/SDIO1_CK/EXMC_NWAIT/DCI_D10/TLI_B2/EVENTOUT,
123,PD7,gpio,HPDF_DATAIN4/SPI0_MOSI/I2S0_SD/HPDF_CKIN1/USART1_CK/RSPDIF_CH0/OSPIM_P0_IO7/SDIO1_CMD/EXMC_NE0/EXMC_NCE/EVENTOUT,
124,PG9,gpio,EXMC_D30/CAN2_TX/TIMER7_BRKIN1/TIMER30_ETI/SPI0_MISO/USART5_RX/RSPDIF_CH3,
125,PG10,gpio,EXMC_D31/CAN2_RX/OSPIM_P1_IO6/SPI0_NSS/I2S0_WS/TLI_G3/SAI1_SD1/SDIO1_D1/EXMC_NE2/DCI_D2/TLI_B2/EVENTOUT,
126,PG11,gpio,EXMC_D29/SPI0_SCK/I2S0_CK/RSPDIF_CH0/OSPIM_P1_IO7/SDIO1_D2/ETH0_RMII_TX_EN/DCI_D3/TLI_B3/EVENTOUT,
127,PG12,gpio,OSPIM_P1_CSN/SPI5_MISO/USART5_RTS/USART5_DE/RSPDIF_CH1/TLI_B4/SDIO1_D3/ETH0_RMII_TXD1/EXMC_NE3/TIMER22_CH0/TLI_B1/EVENTOUT,
128,PG13,gpio,TRACED0/SPI5_SCK/I2S5_CK/USART5_CTS/TIMER44_CH0/SDIO1_D6/ETH0_RMII_TXD0/EXMC_A24/TIMER22_CH1/TLI_R0/EVENTOUT,
129,PG14,gpio,TRACED1/SPI5_MOSI/I2S5_SD/USART5_TX/TIMER44_MCH0/OSPIM_P0_IO7/SDIO1_D7/ETH0_RMII_TXD1/EXMC_A25/TIMER22_CH2/TLI_B0/EVENTOUT,
130,VSS,ground,,
131,VDD,power,,
132,PG15,gpio,USART5_CTS/TIMER44_BRKIN0/EXMC_SDNCAS/DCI_D13/EVENTOUT,
133,PB3,gpio,,
134,PB4,gpio,,
135,PB5,gpio,TIMER16_BRKIN0/TIMER2_CH1/TLI_B5/I2C0_SMBA/SPI0_MOSI/I2S0_SD/I2C3_SMBA/SPI2_MOSI/I2S2_SD/SPI5_MOSI/I2S5_SD/CAN1_RX/USBHS0_ULPI_D7/ETH0_PPS_OUT/EXMC_SDCKE1/DCI_D10/UART4_RX/EVENTOUT,
136,PB6,gpio,,
137,PB7,gpio,TIMER15_MCH0/TIMER3_CH0/EXMC_D11/I2C0_SCL/I2C3_SCL/USART0_TX/CAN1_TX/OSPIM_P0_CSN/HPDF_DATAIN5/EXMC_SDNE1/DCI_D5/UART4_TX/EVENTOUT/TIMER16_MCH0/TIMER3_CH1/I2C0_SDA/I2C3_SDA/USART0_RX/HPDF_CKIN5/EXMC_NL/EXMC_NADV/DCI_VSYNC/LVD_IN,
138,BOOT,boot,,
139,PB8,gpio,TIMER15_CH0/TIMER3_CH2/HPDF_CKIN7/I2C0_SCL/I2C3_SCL/SDIO0_CKIN/UART3_RX/CAN0_RX/SDIO1_D4/SDIO0_D4/DCI_D6/TLI_B6/EVENTOUT,
140,PB9,gpio,TIMER16_CH0/TIMER3_CH3/HPDF_DATAIN7/I2C0_SDA/SPI1_NSS/I2S1_WS/I2C3_SDA/SDIO0_CMDDIR/UART3_TX/CAN0_TX/SDIO1_D5/I2C3_SMBA/SDIO0_D5/DCI_D7/TLI_B7/EVENTOUT,
141,PE0,gpio,TIMER3_ETI/UART7_RX/SAI1_MCLK0/EXMC_NBL0/DCI_D2/TLI_R0/EVENTOUT,
142,PE1,gpio,UART7_TX/EXMC_NBL1/DCI_D3/TLI_R6/EVENTOUT,
143,PDR_ON,power,,
144,VDD,power,,
